"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","Consommation mixte","Emissions de CO2","Garantie mécanique","V1"
"1","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-4/1227859286A1KVVOBMS4",0,"BMW occasion","Série 4","","
385 avenue Guillaume du Vair La Pioline13546 AIX EN PROVENCE
","
BMW Bayern Aix
","Mai 2017
Assurance auto : Comparez","Berline","Diesel","14 000
km","4 portes avec hayon","5
places","46 900 €","15
CV","258
Ch","Automatique",NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-3/1223915240A1KVVOBMS3",0,"BMW occasion","Série 3","","
385 avenue Guillaume du Vair La Pioline13546 AIX EN PROVENCE
","
BMW Bayern Aix
","Décembre 2017
Assurance auto : Comparez","Break","Diesel","8 000
km","4 portes avec hayon","5
places","47 900 €","10
CV","190
Ch","Automatique",NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1219728334A1KVVOAUA6",0,"Audi occasion","A6","","
13 rue Chappe Boulevard de l'Ouest59650 VILLENEUVE D'ASCQ
","
AUDI Premium Métropole
","Mai 2017
Assurance auto : Comparez","Berline","Diesel","15 000
km","4 portes","5
places","55 900 €","16
CV","272
Ch","Automatique",NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-3/1228491984A1KVVOBMS3",0,"BMW occasion","Série 3","","
385 avenue Guillaume du Vair La Pioline13546 AIX EN PROVENCE
","
BMW Bayern Aix
","Septembre 2017
Assurance auto : Comparez","Break","Diesel","5 000
km","4 portes avec hayon","5
places","56 900 €","10
CV","190
Ch","Automatique",NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/audi/a5/1228974837A1KVVOAUA5",0,"Audi occasion","A5","","
13 rue Chappe Boulevard de l'Ouest59650 VILLENEUVE D'ASCQ
","
AUDI Premium Métropole
","Juin 2018
Assurance auto : Comparez","Berline","Diesel","50
km","4 portes avec hayon","4
places","62 400 €","16
CV","272
Ch","Automatique",NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/audi/a7/1228974835A1KVVOAUA7",0,"Audi occasion","A7","","
13 rue Chappe Boulevard de l'Ouest59650 VILLENEUVE D'ASCQ
","
AUDI Premium Métropole
","Juin 2018
Assurance auto : Comparez","Berline","Diesel","50
km","4 portes avec hayon","5
places","69 900 €","21
CV","320
Ch","Automatique",NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1228755794A1KVVOAUA6",0,"Audi occasion","A6","","
13 rue Chappe Boulevard de l'Ouest59650 VILLENEUVE D'ASCQ
","
AUDI Premium Métropole
","Juillet 2018
Assurance auto : Comparez","Berline","Diesel","6 000
km","4 portes","5
places","70 900 €","13
CV","231
Ch","Automatique",NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/bmw/x5/1228851114A1KVVOBMX5",0,"BMW occasion","X5","","
385 avenue Guillaume du Vair La Pioline13546 AIX EN PROVENCE
","
BMW Bayern Aix
","2018
Assurance auto : Comparez","4x4 - SUV","Diesel","100
km","4 portes avec hayon","5
places","74 900 €","16
CV","258
Ch","Automatique",NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/audi/a7/1227145437A1KVVOAUA7",0,"Audi occasion","A7","","
13 rue Chappe Boulevard de l'Ouest59650 VILLENEUVE D'ASCQ
","
AUDI Premium Métropole
","Mai 2018
Assurance auto : Comparez","Coupé","Diesel","9 500
km","4 portes","5
places","95 900 €","18
CV","286
Ch","Automatique",NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/bmw/m4/1226263080A1KVVOBMM4",0,"BMW occasion","M4","","
385 avenue Guillaume du Vair La Pioline13546 AIX EN PROVENCE
","
BMW Bayern Aix
","Mars 2018
Assurance auto : Comparez","Coupé","Essence","3 900
km","2 portes","4
places","99 900 €","32
CV","431
Ch","Automatique","8.3
litres / 100 km","194
g/km",NA,NA
