"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Emissions de CO2","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","Carrosserie","Garantie mécanique","V1"
"1","https://www.paruvendu.fr/a/voiture-occasion/kia/sportage/1230018348A1KVVOKISPO",0,"Kia occasion","Sportage","","
Zone d'Emploi16400 Puymoyen
","
GARAGE PRUD'HOMME
","Septembre 2016
Assurance auto : Comparez","119
g/km","Diesel","22 500
km","4 portes avec hayon","5
places","20 990 €","6
CV","115
Ch","Manuelle",NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1230018345A1KVVOVWGOL",0,"Volkswagen occasion","Golf","","
Z.I. des Gravelles91580 Étréchy
","
DISTINXION ETRECHY
","Décembre 2014
Assurance auto : Comparez","95
g/km","Diesel","68 519
km","4 portes avec hayon","5
places","13 990 €","5
CV","110
Ch","Manuelle","Monospace","6 mois",NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1230018344A1KVVOPE3M8",0,"Peugeot occasion","3008","","
Z.I. des Gravelles91580 Étréchy
","
DISTINXION ETRECHY
","Juillet 2018
Assurance auto : Comparez","106
g/km","Diesel","11
km","4 portes avec hayon","5
places","27 280 €","6
CV","130
Ch","Manuelle","Break",NA,""
"4","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1230018343A1KVVORECLI",0,"Renault occasion","Clio","","
Z.I. des Gravelles91580 Étréchy
","
DISTINXION ETRECHY
","Mai 2018
Assurance auto : Comparez","114
g/km","Essence","5 593
km","4 portes avec hayon","5
places","13 990 €","5
CV","90
Ch","Manuelle","Berline",NA,""
"5","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3-aircross/1230018342A1KVVOCIC3A",0,"Citroën occasion","C3 Aircross","","
Z.I. des Gravelles91580 Étréchy
","
DISTINXION ETRECHY
","Mars 2018
Assurance auto : Comparez","115
g/km","Essence","11
km","4 portes avec hayon","5
places","19 980 €","6
CV","110
Ch","Manuelle","Break",NA,""
"6","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1230018341A1KVVOCI4C",0,"Citroën occasion","C4 cactus","","
Z.I. des Gravelles91580 Étréchy
","
DISTINXION ETRECHY
","Juin 2018
Assurance auto : Comparez","104
g/km","Essence","11
km","4 portes avec hayon","5
places","17 780 €","5
CV","110
Ch","Manuelle","Berline",NA,""
"7","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1230018333A1KVVORECAP",0,"Renault occasion","Captur","","
56 rue Georges Lenôtre -78120 Rambouillet
","
Peugeot NOVA 
","Mars 2015
Assurance auto : Comparez","95
g/km","Diesel","58 814
km","4 portes avec hayon","5
places","11 990 €","4
CV","90
Ch","Manuelle","Break","PREMIUM 12 mois",NA
"8","https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1230018332A1KVVOPE2M8",0,"Peugeot occasion","2008","","
56 rue Georges Lenôtre -78120 Rambouillet
","
Peugeot NOVA 
","Avril 2015
Assurance auto : Comparez","103
g/km","Diesel","71 924
km","4 portes avec hayon","5
places","12 990 €","5
CV","92
Ch","Manuelle","Break","PREMIUM 12 mois",NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1230018335A1KVVOPE308",0,"Peugeot occasion","308","","
10, rue Curnonsky75017 Paris
","
NEUBAUER DISTRIBUTEUR
","Mai 2015
Assurance auto : Comparez","103
g/km","Diesel","16 421
km","4 portes avec hayon","5
places","19 900 €","9
CV","180
Ch","Automatique","Berline","3 mois",NA
"10","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1230018331A1KVVOPE308",0,"Peugeot occasion","308","","
56 rue Georges Lenôtre -78120 Rambouillet
","
Peugeot NOVA 
","Novembre 2014
Assurance auto : Comparez","84
g/km","Diesel","75 032
km","4 portes avec hayon","5
places","12 490 €","5
CV","120
Ch","Manuelle","Berline","PREMIUM 12 mois",NA
