url,brand,modele,name_pro,carrosserie,energie,etat_vehicule,transmission,controle_technique,couleur_interieur,type_peinture_carrosserie,Marque,all_city,code_region,nom_region,numero_departement,nom_departement,nom_commune,latitude,longitude,is_pro,date,pneus_hiver,barres_de_toit,premiere_main,non_fumeur,stationne_dans_garage,sous_garantie_constructeur,attelage,sous_garantie_autre_que_constructeur,cons_mixte_l_by_100km,emissions_co2_g_by_km,kilometrage_km,nb_portes,hayon,nb_places,prix_euros,puissance_fiscale_cv,puissance_reelle_ch,garantie_mecanique_mois,abs,esp,regulateur_vitesse,asr,alarme_antivol,direction_assistee,banquette_ar,radio_cd,fermeture_centralisee,vitres_electriques,allumage_auto_feux,peinture_metallisee,retroviseurs_electriques,roues_alliage_léger,fap,postal_codes
https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230195517A1KVVOCIC3,Citroën,C3,NA,Berline,Essence,Prévoir entretien,Manuelle,NA,NA,NA,NA,Mancenans,43,Franche-Comté,25,Doubs,Mancenans,4745,6533333,0,2002-01-01,1,1,0,0,0,0,0,0,6.5,155,290700,4,1,5,760,6,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25250
https://www.paruvendu.fr/a/voiture-occasion/jaguar/xe/1230221123A1KVVOJAXE,Jaguar,XE,AGENCE AUTOMOBILIERE - BVA SARL,Berline,Diesel,NA,Automatique,NA,NA,NA,NA,Besançon,43,Franche-Comté,25,Doubs,Besançon,4725,6033333,1,2016-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,68600,4,0,5,26990,9,180,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000
https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1230221122A1KVVOAUA6,Audi,A6,KM AUTO,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,Évreux,23,Haute-Normandie,27,Eure,Evreux,49016667,115,1,2010-07-01,NA,NA,NA,NA,NA,NA,NA,NA,5.7,149,188551,4,0,5,8490,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000
https://www.paruvendu.fr/a/voiture-occasion/citroen/grand-c4-picasso/1230221121A1KVVOCIGCP,Citroën,Grand C4 Picasso,AGENCE AUTOMOBILIERE RUEIL MALMAISON,Monospace,Diesel,NA,Manuelle,NA,NA,NA,NA,Rueil-Malmaison,11,Île-de-France,92,Hauts-de-Seine,Rueil-Malmaison,48883333,22,1,2007-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,145000,4,1,7,4190,6,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92500
https://www.paruvendu.fr/a/voiture-occasion/audi/a5/1230221077A1KVVOAUA5,Audi,A5,KYUMP,Berline,Diesel,NA,Semi automatique,NA,NA,NA,NA,Paris,NA,NA,NA,NA,NA,NA,NA,1,2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,5.7,149,124349,4,1,4,20600,14,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75008
https://www.paruvendu.fr/a/voiture-occasion/fiat/500/1230221065A1KVVOFI500,Fiat,500,LA BELLE AUTO,Monospace,Essence,NA,Manuelle,NA,NA,NA,NA,Mably,82,Rhône-Alpes,42,Loire,Mably,46083333,4066667,1,2013-11-01,NA,NA,NA,NA,NA,NA,NA,NA,4.8,111,87330,4,1,5,8900,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42300
https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1230221124A1KVVOCIDS3,Citroën,DS3,KYUMP,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,Paris,NA,NA,NA,NA,NA,NA,NA,1,2015-11-01,NA,NA,NA,NA,NA,NA,NA,NA,4.3,100,28413,2,1,5,10750,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75008
https://www.paruvendu.fr/a/voiture-occasion/audi/a3/1230175554A1KVVOAUA3,Audi,A3,NA,Berline,Diesel,Bon,Manuelle,A jour < 6 mois,Beige,Métallisée,NA,Paris,11,Île-de-France,75,Paris,Paris,NA,NA,0,2006-11-01,NA,NA,NA,NA,NA,NA,NA,NA,5.5,146,223000,4,1,5,4900,8,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75017
https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-2/1228702972A1KVVOBMS2,BMW,Serie 2,1DEAL AUTO,Monospace,Diesel,NA,Manuelle,Véhicule - de 4 ans,Noir,Métallisée,NA,Saint-Lys,73,Midi-Pyrénées,31,Haute-Garonne,Saint-Lys,43516667,12,1,2017-05-01,0,0,1,1,1,1,0,0,4.2,110,20000,4,1,7,18600,6,116,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31470
https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1230220994A1KVVOOPCOR,Opel,Corsa,AGENCE AUTOMOBILIERE DE LILLE ENGLOS,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,Lomme,NA,NA,NA,NA,NA,NA,NA,1,2013-01-01,0,0,1,0,0,0,0,0,NA,134,92000,2,1,5,6490,6,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59160
