"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","V1","Garantie mécanique","Emissions de CO2","Consommation mixte","Autres informations","Etat du véhicule"
"1","https://www.paruvendu.fr/a/voiture-occasion/smart/fortwo/1227307859A1KVVOSMFTW",0,"Smart occasion","ForTwo","","
581 Avenue de la Paix60740 Saint-Maximin
","
MERCEDES SAINT MAXIMIN - AUTOSPHERE
","Juin 2018
Assurance auto : Comparez","Berline","Essence","1 000
km","2 portes avec hayon","2
places","14 990 €","4
CV","90
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iii-estate/1225278618A1KVVOREC3E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1229675556A1KVVOPE308",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1229971265A1KVVOPE3M8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1228270599A1KVVORECAP",0,"Renault occasion","Captur","","
60 AV DE L ARGONNE33700 FRANCE
","
RENAULT CAP SERVICES
","2018
Assurance auto : Comparez","Break","Diesel","10
km","4 portes avec hayon",NA,"19 960 €",NA,NA,"Manuelle","",NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1229971316A1KVVOMEGLA",0,"Mercedes occasion","Classe GLA","","
581 Avenue de la Paix60740 Saint-Maximin
","
MERCEDES SAINT MAXIMIN - AUTOSPHERE
","2015
Assurance auto : Comparez","4x4 - SUV","Diesel","53 244
km","4 portes avec hayon","5
places","22 900 €","5
CV","109
Ch","Automatique",NA,NA,NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1229962289A1KVVOMEGLA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1229036427A1KVVOMEA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/rifter/1229961865A1KVVOPERIF",0,"Peugeot occasion","Rifter","","
81 av de Clermont Ferrand63200 Riom
","
PEUGEOT RIOM - AUTOSPHERE
","Octobre 2018
Assurance auto : Comparez","Break","Diesel","5 000
km","4 portes avec hayon","5
places","26 990 €","5
CV","102
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/caddy/1228801493A1KVVOVWCAD",0,"Volkswagen occasion","Caddy","","
Route Nationale 357740 Longeville-lès-Saint-Avold
","
VOLKSWAGEN SAINT AVOLD - AUTOSPHERE
","Mars 2011
Assurance auto : Comparez","Break","Diesel","92 000
km","4 portes","5
places","8 990 €","5
CV","75
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/skoda/fabia/1227717203A1KVVOSKFAB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/tiguan/1226746350A1KVVOVWTIG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1229563663A1KVVOAUA6",0,"Audi occasion","A6","","
Route Nationale 357740 Longeville-lès-Saint-Avold
","
VOLKSWAGEN SAINT AVOLD - AUTOSPHERE
","2017
Assurance auto : Comparez","Break","Diesel","34 900
km","4 portes avec hayon","5
places","44 900 €","13
CV","218
Ch","Automatique",NA,NA,NA,NA,NA,NA
"14","https://www.paruvendu.fr/a/voiture-occasion/kia/venga/1229962724A1KVVOKIVEN",0,"Kia occasion","Venga","","
79 Avenue Léo Lagrange63300 THIERS
","
VOLKSWAGEN SAS Carlet Thiers
","Septembre 2012
Assurance auto : Comparez","Monospace","Diesel","107 321
km","4 portes avec hayon","5
places","8 995 €","6
CV","115
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"15","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1229401957A1KVVOPE308",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1229962726A1KVVOVWGOL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","https://www.paruvendu.fr/a/voiture-occasion/renault/megane/1228776996A1KVVOREMEG",0,"Renault occasion","Mégane","","
79 Avenue Léo Lagrange63300 THIERS
","
VOLKSWAGEN SAS Carlet Thiers
","Décembre 2017
Assurance auto : Comparez","Break","Diesel","7 969
km","4 portes avec hayon","5
places","20 795 €","5
CV","110
Ch","Automatique",NA,NA,NA,NA,NA,NA
