"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Emissions de CO2","Energie","Garantie mécanique","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","V1"
"1","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1230214026A1KVVOVWPOL",0,"Volkswagen occasion","Polo","","
ZI DU PLESSIS BEUSCHER35220 Châteaubourg
","
AUTO BEUSCHER
","Novembre 2005
Assurance auto : Comparez","Berline","124
g/km","Diesel","6 mois","170 000
km","4 portes avec hayon","5
places","4 990 €","5
CV","80
Ch","Manuelle",NA
"2","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1227284403A1KVVOAUA6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/1007/1230214024A1KVVOPEMI7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/mini/cooper/1230214023A1KVVOMCCOO",0,"Mini occasion","Cooper","","
ZI DU PLESSIS BEUSCHER35220 Châteaubourg
","
AUTO BEUSCHER
","Mai 2007
Assurance auto : Comparez","Berline","139
g/km","Essence","6 mois","141 500
km","2 portes avec hayon","4
places","5 990 €","7
CV","120
Ch","Manuelle",NA
"5","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308-sw/1225958277A1KVVOPE8SW",0,"Peugeot occasion","308 SW","","
8 rue des Lochés71100 Sevrey
","
JLB AUTOS
","Mars 2017
Assurance auto : Comparez","Break","85
g/km","Diesel",NA,"31 738
km","4 portes avec hayon","5
places","16 990 €","5
CV","120
Ch","Manuelle",""
"6","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1230214015A1KVVOCIDS3",0,"Citroën occasion","DS3","","
365 Route deVienne - BP13069200 Vénissieux
","
INTER MAP NOVELLA AUTOMOBILES
","Janvier 2016
Assurance auto : Comparez","Berline","112
g/km","Essence","Garantie ALTA 12 mois","72 665
km","2 portes","5
places","14 280 €","6
CV","110
Ch","Automatique",NA
"7","https://www.paruvendu.fr/a/voiture-occasion/jeep/renegade/1230214014A1KVVOJEREN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1230214013A1KVVOVWGOL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1230214011A1KVVOPE308",0,"Peugeot occasion","308","","
25 Avenue du Chater69340 Francheville
","
FAHY SAS
","Août 2017
Assurance auto : Comparez","Berline","102
g/km","Diesel","PREMIUM 12 mois","11 400
km","4 portes avec hayon","5
places","23 500 €","7
CV","150
Ch","Manuelle",NA
"10","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-5/1229372162A1KVVOBMS5",0,"BMW occasion","Série 5","","
Avenue François Mitterrand17700 Surgères
","
SURGERES AUTOMOBILES
","Mai 2009
Assurance auto : Comparez","Berline","136
g/km","Diesel","6 mois","189 000
km","4 portes","5
places","6 990 €","10
CV","177
Ch","Manuelle",NA
"11","https://www.paruvendu.fr/a/voiture-occasion/citroen/picasso/1230214002A1KVVOCIPIC",0,"Citroën occasion","Picasso","","
Avenue François Mitterrand17700 Surgères
","
SURGERES AUTOMOBILES
","Janvier 2001
Assurance auto : Comparez","Monospace",NA,"Essence","3 mois","143 500
km","4 portes avec hayon","5
places","2 990 €","7
CV","117
Ch","Manuelle",""
"12","https://www.paruvendu.fr/a/voiture-occasion/suzuki/jimny/1230214003A1KVVOSUJIM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1229252472A1KVVORECL4",0,"Renault occasion","Clio IV","","
77  AV RHIN ET DANUBE61000 Alençon
","
ATCA 61
","Décembre 2017
Assurance auto : Comparez","Berline","85
g/km","Diesel",NA,"19 518
km","4 portes avec hayon","5
places","13 300 €","4
CV","90
Ch","Manuelle",""
"14","https://www.paruvendu.fr/a/voiture-occasion/mercedes/280/1230213997A1KVVOME280",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","https://www.paruvendu.fr/a/voiture-occasion/mini/cooper/1230213995A1KVVOMCCOO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1226974362A1KVVOMEGLA",0,"Mercedes occasion","Classe GLA","","
14 Rue des Livraindières28100 Dreux
","
MERCEDES BENZ DAVIS DREUX
","Avril 2016
Assurance auto : Comparez","Break","119
g/km","Diesel","Occasion Millétoile 24 mois","49 930
km","4 portes avec hayon","5
places","23 900 €","7
CV","136
Ch","Manuelle",NA
"17","https://www.paruvendu.fr/a/voiture-occasion/citroen/c1/1230213993A1KVVOCIC1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-glc/1224900034A1KVVOMEGLC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1230213992A1KVVOCIC4P",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","https://www.paruvendu.fr/a/voiture-occasion/citroen/c1/1230213989A1KVVOCIC1",0,"Citroën occasion","C1","","
PLACE SAINT EXUPERY21000 Dijon
","
AUTOMOBILES DE BOURGOGNE - DIJON
","Février 2018
Assurance auto : Comparez","Berline","99
g/km","Essence","Citroën Select 12 mois","14 823
km","4 portes avec hayon","4
places","11 400 €","4
CV","82
Ch","Manuelle",NA
"21","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230213991A1KVVOCIC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1230213990A1KVVOCIC4P",0,"Citroën occasion","C4 Picasso","","
PLACE SAINT EXUPERY21000 Dijon
","
AUTOMOBILES DE BOURGOGNE - DIJON
","Juin 2018
Assurance auto : Comparez","Monospace","105
g/km","Diesel","Citroën Select 12 mois","2 832
km","4 portes avec hayon","7
places","23 900 €","6
CV","120
Ch","Manuelle",NA
"23","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230213988A1KVVOCIC3",0,"Citroën occasion","C3","","
PLACE SAINT EXUPERY21000 Dijon
","
AUTOMOBILES DE BOURGOGNE - DIJON
","Mars 2018
Assurance auto : Comparez","Berline","109
g/km","Essence","Citroën Select 12 mois","13 383
km","4 portes avec hayon","5
places","13 600 €","4
CV","82
Ch","Manuelle",NA
"24","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1230213986A1KVVOCIC4P",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","https://www.paruvendu.fr/a/voiture-occasion/citroen/grand-c4-spacetourer/1230213985A1KVVOCIG4S",0,"Citroën occasion","Grand C4 Spacetourer","","
PLACE SAINT EXUPERY21000 Dijon
","
AUTOMOBILES DE BOURGOGNE - DIJON
","Juillet 2018
Assurance auto : Comparez","Monospace","124
g/km","Diesel","Citroën Select 12 mois","13 236
km","4 portes avec hayon","7
places","26 400 €","9
CV","163
Ch","Automatique",NA
"26","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230213983A1KVVOCIC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1230213984A1KVVOCI4C",0,"Citroën occasion","C4 cactus","","
PLACE SAINT EXUPERY21000 Dijon
","
AUTOMOBILES DE BOURGOGNE - DIJON
","Juillet 2018
Assurance auto : Comparez","Berline","109
g/km","Essence","Citroën Select 12 mois","4 207
km","4 portes avec hayon","5
places","15 900 €","4
CV","82
Ch","Manuelle",NA
"28","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230213982A1KVVOCIC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1230213980A1KVVOCIC4P",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230213979A1KVVOCIC3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
