"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Ann<U+00E9>e","Autres informations","Carrosserie","Emissions de CO2","Energie","Kilom<U+00E9>trage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance r<U+00E9>elle","Transmission","V1","Garantie m<U+00E9>canique","Consommation mixte","Etat du v<U+00E9>hicule","Contr<U+00F4>le technique","Couleur int<U+00E9>rieur","Type de peinture carrosserie","Option equipement S<U+00E9>curit<U+00E9>","Option/Equipement Confort int<U+00E9>rieur","Option/equipement ext<U+00E9>rieurs"
"1","https://www.paruvendu.fr/a/voiture-occasion/mini/countryman/1230203498A1KVVOMCMIN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-4/1230203502A1KVVOBMS4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/206/1230203496A1KVVOPE206",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1230203497A1KVVOPE2M8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/tiguan/1230203495A1KVVOVWTIG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/volvo/xc60/1230203494A1KVVOVOXC6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/peugeot/406/1230203491A1KVVOPE406",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1230203492A1KVVOPE208",0,"Peugeot occasion","208","","
25 Avenue de l<U+0092> Europe25400 Audincourt
","
L'AGENCE AUTOMOBILIERE DE MONTBELIARD
","Avril 2018
Assurance auto : Comparez","Premi<U+00E8>re main","Berline","90
g/km","Diesel","5 000
km","4 portes avec hayon","5
places","15 990 <U+20AC>","5
CV","99
Ch","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1229919505A1KVVOPE3M8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-e/1230203488A1KVVOMEE",0,"Mercedes occasion","Classe E","","
4 Rue Alfred de Musset42300 Mably
","
LA BELLE AUTO
","Juin 2009
Assurance auto : Comparez",NA,"Berline",NA,"Diesel","32 974
km","4 portes",NA,"17 900 <U+20AC>","10
CV",NA,"Manuelle","","12 mois",NA,NA,NA,NA,NA,NA,NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/citroen/c5/1228941714A1KVVOCIC5",0,"Citro<U+00EB>n occasion","C5","



Annonce
de David s                                                                 - Fontenay-le-Comte (85200)                    
membre de ParuVendu.fr depuis 5 ans
","","","Mai 2009
Assurance auto : Comparez","V<U+00E9>hicule non fumeur,Stationne dans un garage","Break","155
g/km","Diesel","249 930
km","4 portes avec hayon","5
places","4 200 <U+20AC>","8
CV","140
Ch","Manuelle",NA,NA,"6.1
litres / 100 km","Bon",NA,NA,NA,NA,NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1230203486A1KVVOCIC4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/peugeot/207-sw/1230202214A1KVVOPE7SW",0,"Peugeot occasion","207 SW","



Annonce
de JOELLE P                                                                 - St Leger Des Vignes (58300)                    
membre de ParuVendu.fr depuis 28 jours
","","","Janvier 2010
Assurance auto : Comparez","Premi<U+00E8>re main,V<U+00E9>hicule non fumeur,Pneus hiver,Barres de toit","Break","119
g/km","Diesel","211 000
km","4 portes avec hayon","5
places","3 500 <U+20AC>","5
CV","90
Ch","Manuelle",NA,NA,"4.5
litres / 100 km","Bon",NA,NA,NA,NA,NA,NA
