"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","V1","Année","Carrosserie","Energie","Kilométrage","Prix","Garantie mécanique","Nb de portes","Transmission","Consommation mixte","Emissions de CO2","Nombre de places","Puissance fiscale","Autres informations","Etat du véhicule","Puissance réelle","Contrôle technique","Couleur intérieur","Option equipement Sécurité","Option/Equipement Confort intérieur","Option/equipement extérieurs","Type de peinture carrosserie"
"1","https://www.paruvendu.fr/a/voiture-occasion/citroen/berlingo/1230195548A1KVVOCIBER",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1230195547A1KVVOCI4C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1230195546A1KVVOCIC3",0,"Citroën occasion","C3","","
160 CHEMIN DE LA PIOLINE LA PIOLINE CS 6064313100 AIX EN PROVENCE
","
CITROEN AIX EN PROVENCE 4
","","2015
Assurance auto : Comparez","Berline","Diesel","74 416
km","8 990 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1230195543A1KVVOMEA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1230195544A1KVVOMEA",0,"Mercedes occasion","Classe A","","
AVENUE LOUIS ARMAND Z I NORD BP 2151587000 LIMOGES
","
PATRICK LAUNAY SAS
","","2017
Assurance auto : Comparez","Berline","Essence","19 809
km","31 490 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-e/1230195542A1KVVOMEE",0,"Mercedes occasion","Classe E","","
AVENUE LOUIS ARMAND Z I NORD BP 2151587000 LIMOGES
","
PATRICK LAUNAY SAS
","","2018
Assurance auto : Comparez","Coupé","Diesel","8 000
km","62 700 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/nissan/note/1230195535A1KVVONINOT",0,"Nissan occasion","Note","","
2 Rue Tête d'Or69006 Lyon
","
LEPISTON.FR - LPF
",NA,"Mars 2016
Assurance auto : Comparez","Monospace","Diesel","29 500
km","9 990 €","6 mois","4 portes avec hayon","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-e/1230195524A1KVVOMEE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1230195523A1KVVOMEB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1230195522A1KVVOMEGLA",0,"Mercedes occasion","Classe GLA","","
99 RUE DE CONSTANTINE76000 ROUEN
","
DAVIS 76
","","2014
Assurance auto : Comparez","4x4 - SUV","Diesel","96 312
km","26 900 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-c/1230195525A1KVVOMEC",0,"Mercedes occasion","Classe C","","
99 RUE DE CONSTANTINE76000 ROUEN
","
DAVIS 76
","","2015
Assurance auto : Comparez","Berline","Diesel","56 084
km","32 900 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1230195521A1KVVOMEB",0,"Mercedes occasion","Classe B","","
99 RUE DE CONSTANTINE76000 ROUEN
","
DAVIS 76
","","2015
Assurance auto : Comparez","Monospace","Diesel","60 532
km","17 900 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1230195519A1KVVOMEB",0,"Mercedes occasion","Classe B","","
99 RUE DE CONSTANTINE76000 ROUEN
","
DAVIS 76
","","2015
Assurance auto : Comparez","Monospace","Diesel","45 401
km","18 900 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1230195520A1KVVOMEB",0,"Mercedes occasion","Classe B","","
99 RUE DE CONSTANTINE76000 ROUEN
","
DAVIS 76
","","2015
Assurance auto : Comparez","Monospace","Diesel","58 361
km","20 899 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-cls/1230195518A1KVVOMECLS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","https://www.paruvendu.fr/a/voiture-occasion/mercedes/250/1230195516A1KVVOME250",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1230195505A1KVVOCI4C",0,"Citroën occasion","C4 cactus","","
9064 AVENUE DE LA REPUBLIQUE62950 NOYELLES GODAULT
","
SAS DES CHEVRONS LENSOIS
","","2016
Assurance auto : Comparez","4x4 - SUV","Diesel","124 000
km","8 490 €",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
