"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","Garantie mécanique","Consommation mixte","Emissions de CO2","V1","Autres informations","Etat du véhicule"
"1","https://www.paruvendu.fr/a/voiture-occasion/renault/megane/1228999821A1KVVOREMEG",0,"Renault occasion","Mégane","","
100 avenue Anatole Thevenet51200 MAGENTA
","
RENAULT Automotor Epernay
","Juin 2017
Assurance auto : Comparez","Berline","Essence","24 902
km","4 portes avec hayon","5
places","15 490 €","5
CV","100
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/mazda/cx-3/1229907238A1KVVOMACX3",0,"Mazda occasion","Cx-3","","
820 RUE DES MADELEINES ZONE ARTISANALE DE LA HAUTE BORNE BP 30077 MAREUIL LES MEAUX77100 FRANCE
","
DANIEL AUTOMOBILES
","2016
Assurance auto : Comparez","Break","Essence","30 459
km","4 portes avec hayon",NA,"16 990 €",NA,NA,"Manuelle","12 mois",NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1228635566A1KVVOPE2M8",0,"Peugeot occasion","2008","","
27 Avenue du Brézet63017 CLERMONT-FERRAND
","
PEUGEOT ABCIS Clermond-Ferrand
","Juillet 2017
Assurance auto : Comparez","4x4 - SUV","Essence","14 200
km","4 portes avec hayon","5
places","18 490 €","5
CV","110
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/renault/talisman/1229346981A1KVVORETAL",0,"Renault occasion","Talisman","","
100 avenue Anatole Thevenet51200 MAGENTA
","
RENAULT Automotor Epernay
","Décembre 2016
Assurance auto : Comparez","Break","Diesel","14 700
km","4 portes avec hayon","5
places","18 990 €","5
CV","110
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/renault/grand-scenic-iv/1229907390A1KVVOREGS4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/peugeot/508-sw/1229907401A1KVVOPE5SW",0,"Peugeot occasion","508 SW","","
25 CHEMIN DE MARTICOT33610 France
","
OXYLIO BORDEAUX
","2017
Assurance auto : Comparez","Break","Diesel","28 652
km","4 portes avec hayon",NA,"19 990 €",NA,NA,"Automatique","13 mois",NA,NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1228851035A1KVVOPE308",0,"Peugeot occasion","308","","
27 Avenue du Brézet63017 CLERMONT-FERRAND
","
PEUGEOT ABCIS Clermond-Ferrand
","Mai 2017
Assurance auto : Comparez","Berline","Essence","5 443
km","4 portes avec hayon","5
places","19 990 €","5
CV","110
Ch","Manuelle",NA,"4.1
litres / 100 km","97
g/km",NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1228354358A1KVVODCDUS",0,"Dacia occasion","Duster","","
100 avenue Anatole Thevenet51200 MAGENTA
","
RENAULT Automotor Epernay
","Janvier 2018
Assurance auto : Comparez","4x4 - SUV","Diesel","10 551
km","4 portes avec hayon","5
places","20 490 €","6
CV","109
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1228775572A1KVVOPE308",0,"Peugeot occasion","308","","
27 Avenue du Brézet63017 CLERMONT-FERRAND
","
PEUGEOT ABCIS Clermond-Ferrand
","Mars 2018
Assurance auto : Comparez","Berline","Diesel","10 289
km","4 portes avec hayon","5
places","21 990 €","6
CV","130
Ch","Manuelle",NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/peugeot/508-sw/1228824211A1KVVOPE5SW",0,"Peugeot occasion","508 SW","","
27 Avenue du Brézet63017 CLERMONT-FERRAND
","
PEUGEOT ABCIS Clermond-Ferrand
","Avril 2017
Assurance auto : Comparez","Break","Diesel","36 723
km","4 portes avec hayon","5
places","22 490 €","9
CV","181
Ch","Automatique",NA,NA,NA,NA,NA,NA
