"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Energie","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","V1","Garantie mécanique","Emissions de CO2","Consommation mixte"
"1","https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1227936874A1KVVOPE3M8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/audi/q8/1229760573A1KVVOAUQ8",0,"Audi occasion","Q8","","
86 avenue de Cournon63170 AUBI?RE
","
AUDI Sport Concept
","Septembre 2018
Assurance auto : Comparez","4x4 - SUV","Diesel","5 000
km","4 portes avec hayon","5
places","96 700 €","18
CV","286
Ch","Automatique",NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/mini/countryman/1229052470A1KVVOMCMIN",0,"Mini occasion","Countryman","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Mars 2013
Assurance auto : Comparez","Break","Diesel","72 203
km","4 portes avec hayon","5
places","11 490 €","5
CV","90
Ch","Manuelle",NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1227717719A1KVVOCIC4",0,"Citroën occasion","C4","","
ZA LIEU DIT DU PRE ROND25680 FRANCE
","
ACCEL  AUTO
","2015
Assurance auto : Comparez","Berline","Essence","42 004
km","4 portes avec hayon",NA,"12 990 €",NA,NA,"Manuelle","",NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1227472355A1KVVOCIC4P",0,"Citroën occasion","C4 Picasso","","
820 RUE DES MADELEINES ZONE ARTISANALE DE LA HAUTE BORNE BP 30077 MAREUIL LES MEAUX77100 FRANCE
","
DANIEL AUTOMOBILES
","2013
Assurance auto : Comparez","Break","Diesel","107 895
km","4 portes avec hayon",NA,"12 990 €",NA,NA,"Manuelle",NA,"6 mois",NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/skoda/rapid/1226632185A1KVVOSKRAP",0,"Skoda occasion","Rapid","","
820 RUE DES MADELEINES ZONE ARTISANALE DE LA HAUTE BORNE BP 30077 MAREUIL LES MEAUX77100 FRANCE
","
DANIEL AUTOMOBILES
","2016
Assurance auto : Comparez","Berline","Diesel","60 877
km","4 portes avec hayon",NA,"12 990 €",NA,NA,"Manuelle",NA,"12 mois",NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1228975362A1KVVODCDUS",0,"Dacia occasion","Duster","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Novembre 2015
Assurance auto : Comparez","4x4 - SUV","Diesel","35 434
km","4 portes avec hayon","5
places","13 890 €","6
CV","110
Ch","Manuelle",NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1228975384A1KVVORECAP",0,"Renault occasion","Captur","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Décembre 2017
Assurance auto : Comparez","4x4 - SUV","Essence","15 972
km","4 portes avec hayon","5
places","14 990 €","5
CV","90
Ch","Manuelle",NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1225334462A1KVVORECL4",0,"Renault occasion","Clio IV","","
18 RUE ANATOLE FRANCE71200 FRANCE
","
GARAGE LECAT ET FILS
","2018
Assurance auto : Comparez","Berline","Essence","10
km","4 portes avec hayon",NA,"15 390 €",NA,NA,"Manuelle","",NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1228975389A1KVVORECAP",0,"Renault occasion","Captur","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Décembre 2017
Assurance auto : Comparez","4x4 - SUV","Essence","12 789
km","4 portes avec hayon","5
places","15 490 €","5
CV","90
Ch","Manuelle",NA,NA,NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/peugeot/508/1227625655A1KVVOPE508",0,"Peugeot occasion","508","","
ZA LIEU DIT DU PRE ROND25680 FRANCE
","
ACCEL  AUTO
","2013
Assurance auto : Comparez","Berline","Electrique","54 173
km","4 portes",NA,"15 500 €",NA,NA,"Automatique",NA,"3 mois",NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1228806808A1KVVORECAP",0,"Renault occasion","Captur","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Février 2017
Assurance auto : Comparez","4x4 - SUV","Diesel","19 528
km","4 portes avec hayon","5
places","15 990 €","5
CV","110
Ch","Manuelle",NA,NA,NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1229448527A1KVVOAUA6",0,"Audi occasion","A6","","
18 RUE ANATOLE FRANCE71200 FRANCE
","
GARAGE LECAT ET FILS
","2011
Assurance auto : Comparez","Berline","Diesel","164 000
km","4 portes",NA,"16 500 €",NA,NA,"Manuelle",NA,"6 mois",NA,NA
"14","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308-sw/1226632200A1KVVOPE8SW",0,"Peugeot occasion","308 SW","","
ZA LIEU DIT DU PRE ROND25680 FRANCE
","
ACCEL  AUTO
","2017
Assurance auto : Comparez","Break","Diesel","15 757
km","4 portes avec hayon",NA,"17 900 €",NA,NA,"Manuelle","",NA,NA,NA
"15","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1228854340A1KVVOPE308",0,"Peugeot occasion","308","","
18 RUE ANATOLE FRANCE71200 FRANCE
","
GARAGE LECAT ET FILS
","2018
Assurance auto : Comparez","Berline","Essence","10
km","4 portes avec hayon",NA,"22 190 €",NA,NA,"Manuelle","",NA,NA,NA
"16","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1227472413A1KVVOPE308",0,"Peugeot occasion","308","","
18 RUE ANATOLE FRANCE71200 FRANCE
","
GARAGE LECAT ET FILS
","2018
Assurance auto : Comparez","Berline","Essence","10
km","4 portes avec hayon",NA,"23 100 €",NA,NA,"Manuelle","",NA,NA,NA
"17","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic/1224818618A1KVVORESCE",0,"Renault occasion","Scénic","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Janvier 2018
Assurance auto : Comparez","Monospace","Diesel","10 000
km","4 portes avec hayon","5
places","24 500 €","5
CV","110
Ch","Manuelle",NA,NA,NA,NA
"18","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1228630985A1KVVOPE308",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic/1224818617A1KVVORESCE",0,"Renault occasion","Scénic","","
2 rue du Colonel Fabien51100 REIMS
","
RENAULT Pont de Vesles Auto
","Novembre 2017
Assurance auto : Comparez","Monospace","Diesel","10 000
km","4 portes avec hayon","5
places","25 500 €","7
CV","130
Ch","Manuelle",NA,NA,NA,NA
"20","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1229104644A1KVVOPE308",0,"Peugeot occasion","308","","
18 RUE ANATOLE FRANCE71200 FRANCE
","
GARAGE LECAT ET FILS
","2018
Assurance auto : Comparez","Berline","Diesel","10
km","4 portes avec hayon",NA,"24 990 €",NA,NA,"Automatique","",NA,NA,NA
"21","https://www.paruvendu.fr/a/voiture-occasion/mazda/mx-5/1229017669A1KVVOMAMX5",0,"Mazda occasion","MX-5","","
820 RUE DES MADELEINES ZONE ARTISANALE DE LA HAUTE BORNE BP 30077 MAREUIL LES MEAUX77100 FRANCE
","
DANIEL AUTOMOBILES
","2018
Assurance auto : Comparez","Cabriolet","Essence","10
km","2 portes",NA,"26 490 €",NA,NA,"Manuelle","",NA,NA,NA
"22","https://www.paruvendu.fr/a/voiture-occasion/mazda/mx-5/1225278664A1KVVOMAMX5",0,"Mazda occasion","MX-5","","
820 RUE DES MADELEINES ZONE ARTISANALE DE LA HAUTE BORNE BP 30077 MAREUIL LES MEAUX77100 FRANCE
","
DANIEL AUTOMOBILES
","2018
Assurance auto : Comparez","Cabriolet","Essence","10
km","2 portes",NA,"26 490 €",NA,NA,"Manuelle","",NA,NA,NA
