"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Emissions de CO2","Energie","Garantie mécanique","Kilométrage","Nb de portes","Nombre de places","Prix","Puissance fiscale","Puissance réelle","Transmission","V1","Consommation mixte"
"1","https://www.paruvendu.fr/a/voiture-occasion/audi/q5/1230018696A1KVVOAUQ5",0,"Audi occasion","Q5","","
765 AVENUE SAINT MARTIN06250 Mougins
","
AUTO EN DIRECT COTE D'AZUR
","Juillet 2010
Assurance auto : Comparez","Break","184
g/km","Diesel","6 mois","95 000
km","4 portes avec hayon","5
places","20 790 €","10
CV","170
Ch","Semi automatique",NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/citroen/c2/1230018694A1KVVOCIC2",0,"Citroën occasion","C2","","
ZA VAGUE DE LA NOE35680 Domalain
","
Automobiles de A à Z
","Septembre 2008
Assurance auto : Comparez","Berline","113
g/km","Diesel","3 mois","165 000
km","2 portes avec hayon","4
places","4 490 €","4
CV","70
Ch","Manuelle",NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308-sw/1229399523A1KVVOPE8SW",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/renault/kadjar/1230018693A1KVVOREKAD",0,"Renault occasion","Kadjar","","
60 Avenue de l'Argonne33700 Mérignac
","
RENAULT CAP SERVICES
","Décembre 2017
Assurance auto : Comparez","Break","103
g/km","Diesel",NA,"10
km","4 portes avec hayon","5
places","24 290 €","5
CV","110
Ch","Manuelle","",NA
"5","https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1229343175A1KVVOPE208",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1230018690A1KVVOMEB",0,"Mercedes occasion","Classe B","","
60 Avenue de l'Argonne33700 Mérignac
","
RENAULT CAP SERVICES
","Février 2016
Assurance auto : Comparez","Monospace","107
g/km","Diesel","12 mois","37 500
km","4 portes avec hayon","5
places","18 990 €","5
CV","90
Ch","Semi automatique",NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/renault/kadjar/1230018692A1KVVOREKAD",0,"Renault occasion","Kadjar","","
60 Avenue de l'Argonne33700 Mérignac
","
RENAULT CAP SERVICES
","Décembre 2016
Assurance auto : Comparez","Break","117
g/km","Diesel","Garantie OR 12 mois","9 610
km","4 portes avec hayon","5
places","21 990 €","7
CV","130
Ch","Manuelle",NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/audi/a6/1228490419A1KVVOAUA6",0,"Audi occasion","A6","","
765 AVENUE SAINT MARTIN06250 Mougins
","
AUTO EN DIRECT COTE D'AZUR
","Mars 2013
Assurance auto : Comparez","Berline","132
g/km","Diesel","6 mois","113 000
km","4 portes","5
places","17 480 €","10
CV","177
Ch","Automatique",NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/audi/allroad/1227986426A1KVVOAUALR",0,"Audi occasion","Allroad","","
765 AVENUE SAINT MARTIN06250 Mougins
","
AUTO EN DIRECT COTE D'AZUR
","Juin 2009
Assurance auto : Comparez","Break","164
g/km","Diesel","6 mois","109 900
km","4 portes avec hayon","5
places","15 480 €","10
CV","170
Ch","Manuelle",NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-g/1224788749A1KVVOMEG",0,"Mercedes occasion","Classe G","","
765 AVENUE SAINT MARTIN06250 Mougins
","
AUTO EN DIRECT COTE D'AZUR
","Juin 2011
Assurance auto : Comparez","Break","295
g/km","Diesel","6 mois","134 755
km","2 portes avec hayon","4
places","59 900 €","15
CV","211
Ch","Automatique",NA,NA
"11","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1229399453A1KVVORECL4",0,"Renault occasion","Clio IV","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Octobre 2014
Assurance auto : Comparez","Berline","95
g/km","Diesel","GARANTIE 6 MOIS MBV","45 742
km","4 portes avec hayon","5
places","8 990 €","4
CV","75
Ch","Manuelle",NA,NA
"12","https://www.paruvendu.fr/a/voiture-occasion/dodge/journey/1229073715A1KVVODOJOU",0,"Dodge occasion","Journey","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Avril 2009
Assurance auto : Comparez","Break","186
g/km","Diesel","GARANTIE 6 MOIS MBV","105 460
km","4 portes avec hayon","7
places","9 990 €","9
CV","140
Ch","Semi automatique",NA,NA
"13","https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-picasso/1228130668A1KVVOCIC4P",0,"Citroën occasion","C4 Picasso","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Septembre 2013
Assurance auto : Comparez","Monospace","132
g/km","Diesel","GARANTIE 6 MOIS MBV","134 001
km","4 portes avec hayon","5
places","6 990 €","6
CV","112
Ch","Manuelle",NA,NA
"14","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1230018684A1KVVORECL4",0,"Renault occasion","Clio IV","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Avril 2016
Assurance auto : Comparez","Berline",NA,"Diesel","GARANTIE 6 MOIS MBV","56 159
km","4 portes avec hayon","5
places","9 880 €","4
CV","90
Ch","Manuelle","",NA
"15","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1230018683A1KVVORECL4",0,"Renault occasion","Clio IV","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Avril 2016
Assurance auto : Comparez","Berline",NA,"Diesel","GARANTIE 6 MOIS MBV","57 204
km","4 portes avec hayon","5
places","9 880 €","4
CV","90
Ch","Manuelle","",NA
"16","https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1230018681A1KVVODCDUS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","https://www.paruvendu.fr/a/voiture-occasion/citroen/ds5/1230018682A1KVVOCIDS5",0,"Citroën occasion","DS5","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Décembre 2012
Assurance auto : Comparez","Berline",NA,"Diesel","GARANTIE 6 MOIS MBV","89 887
km","4 portes avec hayon","5
places","13 800 €","9
CV","163
Ch","Manuelle","",NA
"18","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1230018680A1KVVORECL4",0,"Renault occasion","Clio IV","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Juin 2016
Assurance auto : Comparez","Berline",NA,"Diesel","GARANTIE 12 MOIS MBV","32 556
km","4 portes avec hayon","5
places","11 980 €","4
CV","90
Ch","Manuelle","",NA
"19","https://www.paruvendu.fr/a/voiture-occasion/citroen/c3-picasso/1230018679A1KVVOCI3PI",0,"Citroën occasion","C3 Picasso","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Novembre 2009
Assurance auto : Comparez","Monospace",NA,"Diesel","GARANTIE 6 MOIS MBV","124 138
km","4 portes avec hayon","5
places","6 780 €","6
CV","110
Ch","Manuelle","",NA
"20","https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1230018678A1KVVORECL4",0,"Renault occasion","Clio IV","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Mars 2013
Assurance auto : Comparez","Break",NA,"Diesel","GARANTIE 6 MOIS MBV","72 350
km","4 portes avec hayon","5
places","9 800 €","4
CV","90
Ch","Manuelle","",NA
"21","https://www.paruvendu.fr/a/voiture-occasion/peugeot/308-sw/1230018677A1KVVOPE8SW",0,"Peugeot occasion","308 SW","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Mars 2015
Assurance auto : Comparez","Break","99
g/km","Diesel","GARANTIE 6 MOIS MBV","214 502
km","4 portes avec hayon","5
places","7 880 €","5
CV","92
Ch","Manuelle",NA,NA
"22","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1230018676A1KVVOVWPOL",0,"Volkswagen occasion","Polo","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Mars 2014
Assurance auto : Comparez","Berline",NA,"Diesel","GARANTIE 6 MOIS MBV","74 353
km","2 portes avec hayon","5
places","9 880 €","5
CV","90
Ch","Semi automatique","",NA
"23","https://www.paruvendu.fr/a/voiture-occasion/peugeot/207/1230018675A1KVVOPE207",0,"Peugeot occasion","207","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Mars 2010
Assurance auto : Comparez","Berline",NA,"Essence","GARANTIE 6 MOIS MBV","107 000
km","4 portes avec hayon","5
places","6 490 €","5
CV","90
Ch","Semi automatique","",NA
"24","https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-iii/1230018672A1KVVORESC3",0,"Renault occasion","Scénic III","","
ZA des Fonderies35250 Chevaigné
","
AUTO OCCASION 2000
","Août 2012
Assurance auto : Comparez","Monospace",NA,"Diesel","GARANTIE 6 MOIS MBV","108 886
km","4 portes avec hayon","5
places","10 500 €","7
CV","130
Ch","Manuelle","",NA
"25","https://www.paruvendu.fr/a/voiture-occasion/audi/q5/1230018673A1KVVOAUQ5",0,"Audi occasion","Q5","","
Boulevard de l'Ouest 20 rue Chappe59650 Villeneuve-d'Ascq
","
SAGA Mercedes-Benz VILLENEUVE D'ASCQ
","Février 2012
Assurance auto : Comparez","Break","199
g/km","Diesel","GARANTIE OPTEVEN 12 MOIS","129 013
km","4 portes avec hayon","5
places","23 900 €","15
CV","240
Ch","Semi automatique",NA,NA
